token_name,rank,holder_address,balance
Blockcola Token,1,TLjiPFnSzx6sYGhWMXQZhFhESvWTAh3e8d,14060.711629
Blockcola Token,2,TVkeKCwR7CFpm7ZHT4VTJWHTKT1v7wHXgQ,2533.958069
Blockcola Token,3,TYZTZxY8xaVfBpUsZYify4fTTJDJuvBpeH,1201.90377
Blockcola Token,4,TKH4HPMPjxR2Q93XBVfQrpGiBpyjBwBG6P,1093.160748
Blockcola Token,5,TEPSrSYPDSQ7yXpMFPq91Fb1QEWpMkRGfn,617.282865
Blockcola Token,6,TXka46PPwttNPWfFDPtt3GUodbPThyufaV,505.958434
Blockcola Token,7,TUmbWKgA4H2uGQDmhkJHttzmt6NymQxV1r,320.00159
Blockcola Token,8,TKSPn1KSAYTGoZpjDfN4yaKMUuGTT39V3i,303.067558
Blockcola Token,9,TXxFZ6mYnNRqq9ydT4eapiwihd7nS5kCpr,275.33723
Blockcola Token,10,TDuthVjUPdKY91ZSznMWLNfAamiVaS1DTx,260.287632
Blockcola Token,11,TQGVZ2PB8SoUjFfocWJ5RQ6XjHys9nnM4t,258.0
Blockcola Token,12,TMLDrZ7mSf5jjtvDvxfoYxmj5jxbWqRuwy,244.339523
Blockcola Token,13,THPaPsqFZBoHPCvLBLHHXEkoKdy2y3kYqg,237.735084
Blockcola Token,14,THj9Lgp27tSpumptemw7TwTX9cE292oGb6,208.642593
Blockcola Token,15,TLBarJ1PKFeLYvuU9XxkhZxoJcJj5vMS33,166.689556
Blockcola Token,16,TGSRnvywaocYPdTuNKjW66K4FU31gkxh97,162.312237
Blockcola Token,17,TQJgDfG1C1aLA5id4vTygMXZgWG1NKioiV,162.261066
Blockcola Token,18,TRGZi8ikDDnV8Qo3EHXHKcNyVkFcUUFLkr,155.118333
Blockcola Token,19,TLaWgNb2wxMQ8HrZWwQV9TTjkzM8F3ppH4,146.946981
Blockcola Token,20,TNdER8Qfnn5PBzS7vypEUCkd8KUT4rciwP,143.524309
Blockcola Token,21,TMDtCUtHtH5vspfVfVP9Y3nvNNjpeUMjQF,141.952884
Blockcola Token,22,TWRPa4XKfEUWVjeUdFhgeNctvASKPVjhax,136.082577
Blockcola Token,23,TM9Jn4EazMG1SN9stnULX8JZRedbZVNMfk,127.213349
Blockcola Token,24,TGNxuLj5YrmoqvPPTfkRdz9efRuVj3Uqjh,122.443653
Blockcola Token,25,TEXE1kkfqfgeF1HE7v52hxMpNg9eY8YCqb,116.126073
Blockcola Token,26,TH86oKXeLg1utiwasgBwVSRe3nESiqZXuH,110.46919
Blockcola Token,27,TQTHo42Ti2nkJxXqF3Vc81qHmBZjPxevoA,100.0
Blockcola Token,28,TUgyzw87xPjS3iZB7Jok4VhY7X2qSWgM3N,100.0
Blockcola Token,29,TUmftC2a6LH3TSeCKg2YquukjHXwz41QyL,98.550653
Blockcola Token,30,TWTUZrR7ZuA4J1kAAjZp5rEjEXJdR2kgpM,98.0
Blockcola Token,31,TR9U35iFw6irurNyh63REoZJ86BtZyEw7g,95.309353
Blockcola Token,32,TEoBpCGVYQHePPr9Eu4Ag2wmmQcDPNucNX,94.570794
Blockcola Token,33,TLKuq47VFzAZ1bYJJCH9GgLz5uWAX9GzwH,91.045056
Blockcola Token,34,TGkMGz9cg38X2CCWAx3Q6PB6YzDWBRontT,86.408237
Blockcola Token,35,TGe9fjzaTwbbLu1ySJWjAaKyMHXKo7oqVm,85.9779
Blockcola Token,36,TSNonCfUgeUyRLewTYc3BnL7LoE8mxG1xA,84.0
Blockcola Token,37,TApUoqQ4sL2KQPAYHmbDBgUi3fhABXJjjy,76.574293
Blockcola Token,38,TPKeZmSm6HrBB7r6uRW5UdWMHmBZAYTr9g,73.5
Blockcola Token,39,TBWdsiHQRvzthwnAEgC9CmsQejPMdYuGSg,72.778892
Blockcola Token,40,TBaoUmhnXSzCgWsHBw4FQShv2iDSu7Vgvh,72.51262
Blockcola Token,41,TVuyYehvvQ8i2z7tVcy1jGa24S75grYMMj,70.320247
Blockcola Token,42,TN6MxuFUDnfxxb1PeqEsakeRT7ApoNFiRU,64.581556
Blockcola Token,43,TPSiBD4GRXAB4NrXVACLotTJzT9tQ1WSiM,56.687686
Blockcola Token,44,TDE221VideY2eCqgGQGwt2wiWpxrWERkrC,56.441375
Blockcola Token,45,TC9n9ER3oKTpsBfGtF7qtiJkxpGVmYydN2,53.810766
Blockcola Token,46,TNdKLkQCZC1QYMQWJQAUAWG9HDFqJEUyeZ,51.768285
Blockcola Token,47,TQP5NzhEcYK9pzVYHbVkLZrG6FEjeCTLEs,50.588557
Blockcola Token,48,TW46XUwkNAmK7FJVKkVRyqoq6PHfnW46W1,50.0016
Blockcola Token,49,TWFADhXJR1yCADB5eMKvStPCpGY45Xm8bq,45.0
Blockcola Token,50,TUUnpvXBmbjiyHXFaZxRNfjCc3Tw241jHe,42.594191
